Title,raw,Skills
"Morticians, Undertakers, and Funeral Arrangers","Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.",[]
Recreation Workers,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members.",[]
Residential Advisors,"Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources.",[]
Gambling Change Persons and Booth Cashiers,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers.",[]
Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,[]
Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",[]
"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",[]
Travel Agents,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems.",[]
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sell services to individuals or businesses. May describe options or resolve client problems.,[]
Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",[]
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,[]
Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",[]
Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",[]
Telemarketers,Solicit donations or orders for goods or services over the telephone.,[]
First-Line Supervisors of Office and Administrative Support Workers,Directly supervise and coordinate the activities of clerical and administrative support workers.,[]
Telephone Operators,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",[]
Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts.",[]
Payroll and Timekeeping Clerks,"Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks.",[]
Procurement Clerks,Compile information and records to draw up purchase orders for procurement of materials and services.,[]
Tellers,Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.,[]
Brokerage Clerks,"Perform duties related to the purchase, sale, or holding of securities. Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings.",[]
"Court, Municipal, and License Clerks","Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.",[]
Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",[]
File Clerks,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested.",[]
"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms.",[]
"Library Assistants, Clerical","Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials.",[]
Loan Interviewers and Clerks,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan.",[]
New Accounts Clerks,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.,[]
"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.",[]
Receptionists and Information Clerks,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.",[]
Freight Forwarders,"Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation.",[]
"Meter Readers, Utilities","Read meter and record consumption of electricity, gas, water, or steam.",[]
"Shipping, Receiving, and Inventory Clerks",Verify and maintain records on incoming and outgoing shipments involving inventory. Duties include verifying and recording incoming merchandise or material and arranging for the transportation of products. May prepare items for shipment.,[]
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weigh, measure, and check materials, supplies, and equipment for the purpose of keeping relevant records. Duties are primarily clerical by nature. Includes workers who collect and keep record of samples of products or materials.",[]
Legal Secretaries and Administrative Assistants,"Perform secretarial duties using legal terminology, procedures, and documents. Prepare legal papers and correspondence, such as summonses, complaints, motions, and subpoenas. May also assist with legal research.",[]
Medical Secretaries and Administrative Assistants,"Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence.",[]
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",[]
Data Entry Keyers,"Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing.",[]
Word Processors and Typists,"Use word processor, computer, or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording. May perform other clerical duties as assigned.",[]
Insurance Claims and Policy Processing Clerks,"Process new insurance policies, modifications to existing policies, and claims forms. Obtain information from policyholders to verify the accuracy and completeness of information on claims forms, applications and related documents, and company records. Update existing policies and company records to reflect changes requested by policyholders and insurance company representatives.",[]
"Mail Clerks and Mail Machine Operators, Except Postal Service","Prepare incoming and outgoing mail for distribution. Time-stamp, open, read, sort, and route incoming mail; and address, seal, stamp, fold, stuff, and affix postage to outgoing mail or packages. Duties may also include keeping necessary records and completed forms.",[]
"Office Clerks, General","Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, office machine operation, and filing.",[]
Proofreaders and Copy Markers,"Read transcript or proof type setup to detect and mark for correction any grammatical, typographical, or compositional errors. Excludes workers whose primary duty is editing copy. Includes proofreaders of braille.",[]
Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,[]
Agricultural Inspectors,"Inspect agricultural commodities, processing equipment, and facilities, and fish and logging operations, to ensure compliance with regulations and laws governing health, quality, and safety.",[]
Fishing and Hunting Workers,"Hunt, trap, catch, or gather wild animals or aquatic animals and plants. May use nets, traps, or other equipment. May haul catch onto ship or other vessel.",[]
First-Line Supervisors of Construction Trades and Extraction Workers,Directly supervise and coordinate activities of construction or extraction workers.,[]
Energy Auditors,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",[]
"Roustabouts, Oil and Gas",Assemble or repair oil field equipment using hand and power tools. Perform other tasks as needed.,[]
"First-Line Supervisors of Mechanics, Installers, and Repairers","Directly supervise and coordinate the activities of mechanics, installers, and repairers. May also advise customers on recommended services. Excludes team or work leaders.",[]
"Computer, Automated Teller, and Office Machine Repairers","Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines.",[]
Avionics Technicians,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles.",[]
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Repair, test, adjust, or install electronic equipment, such as industrial controls, transmitters, and antennas.",[]
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Inspect, test, repair, or maintain electrical equipment in generating stations, substations, and in-service relays.",[]
Aircraft Mechanics and Service Technicians,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.",[]
"Mobile Heavy Equipment Mechanics, Except Engines","Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and mining.",[]
Motorboat Mechanics and Service Technicians,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.,[]
Tire Repairers and Changers,Repair and replace tires.,[]
"Control and Valve Installers and Repairers, Except Mechanical Door","Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors.",[]
Industrial Machinery Mechanics,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans.",[]
Medical Equipment Repairers,"Test, adjust, or repair biomedical or electromedical equipment.",[]
"Maintenance and Repair Workers, General","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. Duties may involve pipe fitting; HVAC maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.",[]
Wind Turbine Service Technicians,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.",[]
First-Line Supervisors of Production and Operating Workers,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders.",[]
Structural Metal Fabricators and Fitters,"Fabricate, position, align, and fit parts of structural metal products.",[]
Prepress Technicians and Workers,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.,[]
Print Binding and Finishing Workers,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,[]
Power Plant Operators,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.",[]
Water and Wastewater Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",[]
Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.,[]
Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",[]
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",[]
"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",[]
Photographic Process Workers and Processing Machine Operators,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.,[]
Computer Numerically Controlled Tool Programmers,"Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment.",[]
Etchers and Engravers,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers.",[]
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","Directly supervise and coordinate the activities of helpers, laborers, or material movers, hand.",[]
Recycling Coordinators,Supervise curbside and drop-off recycling programs for municipal governments or private firms.,[]
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.,[]
Air Traffic Controllers,"Control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety.",[]
Flight Attendants,"Monitor safety of the aircraft cabin. Provide services to airline passengers, explain safety information, serve food and beverages, and respond to emergency incidents.",[]
"Captains, Mates, and Pilots of Water Vessels","Command or supervise operations of ships and water vessels, such as tugboats and ferryboats. Required to hold license issued by U.S. Coast Guard.",[]
Transportation Inspectors,"Inspect equipment or goods in connection with the safe transport of cargo or people. Includes rail transportation inspectors, such as freight inspectors, rail inspectors, and other inspectors of transportation vehicles not elsewhere classified.",[]
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards.",[]
