O*NET-SOC Code,Title,Reported Job Title,Shown in My Next Move
15-1253.00,Software Quality Assurance Analysts and Testers,Software Test Engineer,Y
15-1253.00,Software Quality Assurance Analysts and Testers,Test Engineer,N
15-1254.00,Web Developers,Technology Applications Engineer,N
15-1254.00,Web Developers,Web Architect,Y
15-1254.00,Web Developers,Web Design Specialist,Y
15-1254.00,Web Developers,Web Developer,Y
15-1254.00,Web Developers,Webmaster,Y
15-1255.00,Web and Digital Interface Designers,Technology Applications Engineer,N
15-1255.00,Web and Digital Interface Designers,Web Architect,Y
15-1255.00,Web and Digital Interface Designers,Web Design Specialist,Y
15-1255.00,Web and Digital Interface Designers,Web Designer,Y
15-1255.00,Web and Digital Interface Designers,Webmaster,Y
15-1255.01,Video Game Designers,Design Director,Y
15-1255.01,Video Game Designers,Designer,Y
15-1255.01,Video Game Designers,Environmental Artist,N
15-1255.01,Video Game Designers,Game Design Consultant,N
15-1255.01,Video Game Designers,Game Designer,Y
15-1255.01,Video Game Designers,Gamemaster,N
15-1255.01,Video Game Designers,Level Designer,N
15-1255.01,Video Game Designers,World Designer,Y
15-1299.01,Web Administrators,Corporate Webmaster,Y
15-1299.01,Web Administrators,Web Administrator,N
15-1299.01,Web Administrators,Web Content Coordinator,N
15-1299.01,Web Administrators,Web Content Manager,N
15-1299.01,Web Administrators,Web Director,N
15-1299.01,Web Administrators,Web Manager,N
15-1299.01,Web Administrators,Web Site Manager,Y
15-1299.01,Web Administrators,Web Technologies Administrator,Y
15-1299.01,Web Administrators,Webmaster,Y
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information System Analyst (GIS Analyst),Y
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information Systems Administrator (GIS Administrator),N
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information Systems Analyst (GIS Analyst),Y
15-1299.02,Geographic Information Systems Technologists and Technicians,Geographic Information Systems Coordinator (GIS Coordinator),N
15-1299.02,Geographic Information Systems Technologists and Technicians,GIS Specialist (Geographic Information Systems Specialist),Y
15-1299.02,Geographic Information Systems Technologists and Technicians,GIS Technician (Geographic Information Systems Technician),Y
15-1299.02,Geographic Information Systems Technologists and Technicians,Resource Analyst,N
15-1299.03,Document Management Specialists,Business Records Manager,N
15-1299.03,Document Management Specialists,Certified Document Imaging Architect,N
15-1299.03,Document Management Specialists,Document Control Manager,Y
15-1299.03,Document Management Specialists,Document Management Consultant,N
15-1299.03,Document Management Specialists,ECM Consultant (Enterprise Content Management Consultant),Y
15-1299.03,Document Management Specialists,Electronic Content Manager,Y
15-1299.03,Document Management Specialists,Record Systems Analyst,N
15-1299.03,Document Management Specialists,Records and Information Management Consultant (RIM Consultant),N
15-1299.03,Document Management Specialists,Records and Information Management Specialist (RIM Specialist),N
15-1299.03,Document Management Specialists,Records Manager,Y
15-1299.08,Computer Systems Engineers/Architects,Infrastructure Engineer,Y
15-1299.08,Computer Systems Engineers/Architects,IT Architect (Information Technology Architect),Y
15-1299.08,Computer Systems Engineers/Architects,IT Engineer (Information Technology Engineer),N
15-1299.08,Computer Systems Engineers/Architects,Network and Infrastructure Engineer,N
15-1299.08,Computer Systems Engineers/Architects,Solutions Architect,Y
15-1299.08,Computer Systems Engineers/Architects,Systems Application Engineer,N
15-1299.08,Computer Systems Engineers/Architects,Systems Architect,N
15-1299.08,Computer Systems Engineers/Architects,Systems Consultant,N
15-1299.08,Computer Systems Engineers/Architects,Systems Engineer,Y
15-1299.08,Computer Systems Engineers/Architects,Web Architect,N
15-1299.09,Information Technology Project Managers,Cloud Product Director,Y
15-1299.09,Information Technology Project Managers,Cybersecurity Project Manager,Y
15-1299.09,Information Technology Project Managers,Data Center Product Director,N
15-1299.09,Information Technology Project Managers,Information Systems Project Manager (IS Project Manager),N
15-1299.09,Information Technology Project Managers,IT Manager (Information Technology Manager),Y
15-1299.09,Information Technology Project Managers,IT Program Manager (Information Technology Program Manager),N
15-1299.09,Information Technology Project Managers,IT Project Manager (Information Technology Project Manager),Y
15-1299.09,Information Technology Project Managers,Scrum Master,N
15-1299.09,Information Technology Project Managers,Transition Program Manager,N
15-2011.00,Actuaries,Actuarial Analyst,Y
15-2011.00,Actuaries,Actuarial Associate,N
15-2011.00,Actuaries,Actuarial Consultant,N
15-2011.00,Actuaries,Actuary,Y
15-2011.00,Actuaries,Consulting Actuary,Y
15-2011.00,Actuaries,Corporate Actuary,N
15-2011.00,Actuaries,Health Actuary,N
15-2011.00,Actuaries,Pricing Actuary,Y
15-2011.00,Actuaries,Product Development Actuary,N
15-2011.00,Actuaries,Reserving Actuary,N
15-2021.00,Mathematicians,Computational Mathematician,Y
15-2021.00,Mathematicians,Computational Scientist,N
15-2021.00,Mathematicians,Cryptographer,Y
15-2021.00,Mathematicians,Cryptographic Vulnerability Analyst,N
15-2021.00,Mathematicians,Image Scientist,N
15-2021.00,Mathematicians,Knowledge Engineer,N
15-2021.00,Mathematicians,Mathematician,Y
15-2021.00,Mathematicians,Research Computing Specialist,N
15-2021.00,Mathematicians,Research Scientist,Y
15-2021.00,Mathematicians,Researcher,N
15-2031.00,Operations Research Analysts,Advanced Analytics Associate,N
15-2031.00,Operations Research Analysts,Analytical Strategist,Y
15-2031.00,Operations Research Analysts,Decision Analyst,N
15-2031.00,Operations Research Analysts,Operations Research Analyst (Ops Research Analyst),Y
15-2031.00,Operations Research Analysts,Operations Research Scientist (Ops Research Scientist),Y
15-2031.00,Operations Research Analysts,Optimization Analyst,N
15-2031.00,Operations Research Analysts,Researcher,Y
15-2041.00,Statisticians,Database Analyst,Y
15-2041.00,Statisticians,Demographer,N
15-2041.00,Statisticians,Education Research Analyst,N
15-2041.00,Statisticians,Mathematical Statistician,Y
15-2041.00,Statisticians,Psychometric Consultant,N
15-2041.00,Statisticians,Quantitative Methodologist,N
15-2041.00,Statisticians,Statistical Analyst,Y
15-2041.00,Statisticians,Statistical Consultant,N
15-2041.00,Statisticians,Statistical Reporting Analyst,N
15-2041.00,Statisticians,Statistician,Y
15-2041.01,Biostatisticians,Biometrician,Y
15-2041.01,Biostatisticians,Biostatistical Consultant,N
15-2041.01,Biostatisticians,Biostatistician,Y
15-2041.01,Biostatisticians,Research Scientist,Y
15-2041.01,Biostatisticians,Statistical Scientist,Y
15-2051.01,Business Intelligence Analysts,Business Analyst,N
15-2051.01,Business Intelligence Analysts,Business Intelligence Analyst (BI Analyst),Y
15-2051.01,Business Intelligence Analysts,Business Intelligence Consultant (BI Consultant),N
15-2051.01,Business Intelligence Analysts,Business Intelligence Coordinator (BI Coordinator),N
15-2051.01,Business Intelligence Analysts,Business Intelligence Specialist (BI Specialist),N
15-2051.01,Business Intelligence Analysts,Competitive Intelligence Analyst,Y
15-2051.01,Business Intelligence Analysts,Intelligence Analyst,Y
15-2051.01,Business Intelligence Analysts,Market Intelligence Analyst,N
15-2051.01,Business Intelligence Analysts,Market Intelligence Consultant,Y
15-2051.01,Business Intelligence Analysts,Strategic Business and Technology Intelligence Consultant,N
15-2051.02,Clinical Data Managers,Clinical Data Management Director (CDM Director),Y
15-2051.02,Clinical Data Managers,Clinical Data Management Manager (CDM Manager),Y
15-2051.02,Clinical Data Managers,Clinical Data Manager,Y
15-2051.02,Clinical Data Managers,Clinical Informatics Manager,N
15-2051.02,Clinical Data Managers,Data Deliverables Manager,N
15-2051.02,Clinical Data Managers,Data Management Manager,Y
17-1011.00,"Architects, Except Landscape and Naval",Architect,Y
17-1011.00,"Architects, Except Landscape and Naval",Design Architect,Y
17-1011.00,"Architects, Except Landscape and Naval",Planner,Y
17-1011.00,"Architects, Except Landscape and Naval",Project Architect,Y
17-1011.00,"Architects, Except Landscape and Naval",Specifications Writer,N
17-1012.00,Landscape Architects,AP BD+C (Accredited Professional in Building Design and Construction),N
17-1012.00,Landscape Architects,Golf Course Architect,Y
17-1012.00,Landscape Architects,Land Planner,Y
17-1012.00,Landscape Architects,Landscape Architect,Y
17-1012.00,Landscape Architects,Landscape Designer,N
17-1012.00,Landscape Architects,Landscape Planner,Y
17-1012.00,Landscape Architects,Park Planner,N
17-1012.00,Landscape Architects,Planner,N
17-1012.00,Landscape Architects,Professional Landscape Architect (PLA),N
17-1021.00,Cartographers and Photogrammetrists,Aerial Photogrammetrist,N
17-1021.00,Cartographers and Photogrammetrists,Cartographer,Y
17-1021.00,Cartographers and Photogrammetrists,Cartographic Designer,N
17-1021.00,Cartographers and Photogrammetrists,Digital Cartographer,N
17-1021.00,Cartographers and Photogrammetrists,Mapper,N
17-1021.00,Cartographers and Photogrammetrists,Photogrammetric Technician,Y
17-1021.00,Cartographers and Photogrammetrists,Photogrammetrist,Y
17-1021.00,Cartographers and Photogrammetrists,Stereo Compiler,Y
17-1021.00,Cartographers and Photogrammetrists,Stereoplotter Operator,N
17-1022.00,Surveyors,City Surveyor,N
17-1022.00,Surveyors,County Surveyor,Y
17-1022.00,Surveyors,Land Surveyor,Y
17-1022.00,Surveyors,Licensed Land Surveyor,Y
17-1022.00,Surveyors,Mine Surveyor,N
17-1022.00,Surveyors,Professional Land Surveyor,N
17-1022.00,Surveyors,Registered Land Surveyor,N
17-1022.00,Surveyors,Staff Land Surveyor,N
17-1022.00,Surveyors,State Surveyor,N
17-1022.00,Surveyors,Surveyor,Y
17-2011.00,Aerospace Engineers,Aeronautical Engineer,N
17-2011.00,Aerospace Engineers,Aerospace Engineer,Y
17-2011.00,Aerospace Engineers,Aerospace Stress Engineer,N
17-2011.00,Aerospace Engineers,Avionics Engineer,N
17-2011.00,Aerospace Engineers,Design Engineer,Y
17-2011.00,Aerospace Engineers,Flight Controls Engineer,N
17-2011.00,Aerospace Engineers,Flight Test Engineer,Y
17-2011.00,Aerospace Engineers,Structural Analysis Engineer,N
17-2011.00,Aerospace Engineers,Systems Engineer,Y
17-2011.00,Aerospace Engineers,Test Engineer,N
17-2031.00,Bioengineers and Biomedical Engineers,Biomedical Engineer,Y
17-2031.00,Bioengineers and Biomedical Engineers,Biomedical Technician (Biomedical Tech),Y
17-2031.00,Bioengineers and Biomedical Engineers,Engineer,N
17-2031.00,Bioengineers and Biomedical Engineers,Process Engineer,Y
17-2031.00,Bioengineers and Biomedical Engineers,Research Engineer,Y
17-2041.00,Chemical Engineers,Chemical Engineer,Y
17-2041.00,Chemical Engineers,Development Engineer,N
17-2041.00,Chemical Engineers,Engineer,Y
17-2041.00,Chemical Engineers,Engineering Scientist,N
17-2041.00,Chemical Engineers,Process Control Engineer,N
17-2041.00,Chemical Engineers,Process Engineer,Y
17-2041.00,Chemical Engineers,Project Engineer,N
17-2041.00,Chemical Engineers,Refinery Process Engineer,N
17-2041.00,Chemical Engineers,Research Chemical Engineer,N
17-2041.00,Chemical Engineers,Scientist,Y
17-2051.00,Civil Engineers,City Engineer,N
17-2051.00,Civil Engineers,Civil Engineer,Y
17-2051.00,Civil Engineers,County Engineer,N
17-2051.00,Civil Engineers,Design Engineer,Y
17-2051.00,Civil Engineers,Engineer,N
17-2051.00,Civil Engineers,Geotechnical Engineer,N
17-2051.00,Civil Engineers,Licensed Engineer,N
17-2051.00,Civil Engineers,Project Engineer,Y
17-2051.00,Civil Engineers,Railroad Design Consultant,N
17-2051.00,Civil Engineers,Structural Engineer,Y
17-2051.01,Transportation Engineers,Engineer,Y
17-2051.01,Transportation Engineers,Project Engineer,Y
17-2051.01,Transportation Engineers,Rail Engineer,N
17-2051.01,Transportation Engineers,Roadway Designer,N
17-2051.01,Transportation Engineers,Roadway Engineer,N
17-2051.01,Transportation Engineers,State Roadway Design Engineer,N
17-2051.01,Transportation Engineers,Traffic Engineer,Y
17-2051.01,Transportation Engineers,Traffic Operations Engineer,N
17-2051.01,Transportation Engineers,Transportation Engineer,Y
17-2051.02,Water/Wastewater Engineers,Consulting Engineer,Y
17-2051.02,Water/Wastewater Engineers,County Engineer,Y
17-2051.02,Water/Wastewater Engineers,Engineer,Y
17-2051.02,Water/Wastewater Engineers,Project Development Engineer,Y
17-2061.00,Computer Hardware Engineers,Design Engineer,Y
17-2061.00,Computer Hardware Engineers,Engineer,Y
17-2061.00,Computer Hardware Engineers,Field Service Engineer,N
17-2061.00,Computer Hardware Engineers,Hardware Design Engineer,N
17-2061.00,Computer Hardware Engineers,Hardware Engineer,Y
17-2061.00,Computer Hardware Engineers,Physical Design Engineer,N
17-2061.00,Computer Hardware Engineers,Project Engineer,N
17-2061.00,Computer Hardware Engineers,Staff Engineer,N
17-2061.00,Computer Hardware Engineers,Systems Integration Engineer,Y
17-2071.00,Electrical Engineers,Circuits Engineer,N
17-2071.00,Electrical Engineers,Design Engineer,Y
17-2071.00,Electrical Engineers,Electrical Controls Engineer,N
17-2071.00,Electrical Engineers,Electrical Design Engineer,Y
17-2071.00,Electrical Engineers,Electrical Engineer,Y
17-2071.00,Electrical Engineers,Electrical Project Engineer,N
17-2071.00,Electrical Engineers,Engineer,N
17-2071.00,Electrical Engineers,Instrumentation and Electrical Reliability Engineer (I&E Reliability Engineer),N
17-2071.00,Electrical Engineers,Project Engineer,Y
17-2071.00,Electrical Engineers,Test Engineer,N
17-2072.00,"Electronics Engineers, Except Computer",Compatibility Test Engineer,N
17-2072.00,"Electronics Engineers, Except Computer",Design Engineer,Y
17-2072.00,"Electronics Engineers, Except Computer",Electronics Design Engineer,N
17-2072.00,"Electronics Engineers, Except Computer",Engineer,N
17-2072.00,"Electronics Engineers, Except Computer",Evaluation Engineer,N
17-2072.00,"Electronics Engineers, Except Computer",Integrated Circuit Design Engineer (IC Design Engineer),Y
17-2072.00,"Electronics Engineers, Except Computer",Product Engineer,Y
17-2072.00,"Electronics Engineers, Except Computer",Radio Frequency Engineer (RF Engineer),N
17-2072.00,"Electronics Engineers, Except Computer",Research and Development Engineer (R and D Engineer),N
17-2072.00,"Electronics Engineers, Except Computer",Test Engineer,Y
17-2072.01,Radio Frequency Identification Device Specialists,Deployment Engineer,Y
17-2072.01,Radio Frequency Identification Device Specialists,Electro Magnetic Compatibility Test Engineer,N
17-2072.01,Radio Frequency Identification Device Specialists,RFID Engineer (Radio Frequency Identification Device Engineer),Y
17-2072.01,Radio Frequency Identification Device Specialists,RFID Systems Engineer (Radio Frequency Identification Device Systems Engineer),Y
17-2072.01,Radio Frequency Identification Device Specialists,Technical Support Engineer,Y
17-2081.00,Environmental Engineers,Air Pollution Control Engineer,N
17-2081.00,Environmental Engineers,Engineer,Y
17-2081.00,Environmental Engineers,Engineering Consultant,N
17-2081.00,Environmental Engineers,Environmental Analyst,N
17-2081.00,Environmental Engineers,Environmental Consultant,N
17-2081.00,Environmental Engineers,Environmental Engineer,Y
17-2081.00,Environmental Engineers,Environmental Remediation Specialist,Y
17-2081.00,Environmental Engineers,Hazardous Substances Engineer,N
17-2081.00,Environmental Engineers,Sanitary Engineer,Y
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Health and Safety Specialist,N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Industrial Hygienist,N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Industrial Safety Engineer,N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Product Safety and Standards Engineer,N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Product Safety Consultant,N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Product Safety Engineer,Y
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Safety and Health Consultant,Y
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Safety Engineer,Y
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Service Loss Control Consultant,N
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",System Safety Engineer,Y
17-2111.02,Fire-Prevention and Protection Engineers,Consulting Engineer,Y
17-2111.02,Fire-Prevention and Protection Engineers,Engineer,Y
17-2111.02,Fire-Prevention and Protection Engineers,Fire Protection Consultant,Y
17-2111.02,Fire-Prevention and Protection Engineers,Fire Protection Engineer (FP Engineer),Y
17-2111.02,Fire-Prevention and Protection Engineers,Licensed Fire Protection Engineer,N
17-2112.00,Industrial Engineers,Continuous Improvement Engineer,N
17-2112.00,Industrial Engineers,Engineer,Y
17-2112.00,Industrial Engineers,Facilities Engineer,N
17-2112.00,Industrial Engineers,Industrial Engineer,Y
17-2112.00,Industrial Engineers,Operations Engineer,N
17-2112.00,Industrial Engineers,Plant Engineer,N
17-2112.00,Industrial Engineers,Process Engineer,Y
17-2112.00,Industrial Engineers,Project Engineer,Y
17-2112.00,Industrial Engineers,Quality Engineer,N
17-2112.00,Industrial Engineers,Research and Development Engineer (R and D Engineer),N
17-2112.01,Human Factors Engineers and Ergonomists,Board Certified Ergonomist,N
17-2112.01,Human Factors Engineers and Ergonomists,Certified Professional Ergonomist,N
17-2112.01,Human Factors Engineers and Ergonomists,Cognitive Engineer,N
17-2112.01,Human Factors Engineers and Ergonomists,Engineer,Y
17-2112.01,Human Factors Engineers and Ergonomists,Ergonomic Consultant,N
17-2112.01,Human Factors Engineers and Ergonomists,Ergonomics Technical Advisor,N
17-2112.01,Human Factors Engineers and Ergonomists,Ergonomist,Y
17-2112.01,Human Factors Engineers and Ergonomists,Human Factors Advisor,N
17-2112.01,Human Factors Engineers and Ergonomists,Human Factors Engineer,Y
17-2112.01,Human Factors Engineers and Ergonomists,Occupational Ergonomist,Y
17-2112.02,Validation Engineers,Corporate Quality Engineer,N
17-2112.02,Validation Engineers,Product Quality Engineer,N
17-2112.02,Validation Engineers,Quality Assurance Engineer,Y
17-2112.02,Validation Engineers,Quality Engineer,Y
17-2112.02,Validation Engineers,Quality Management Systems Engineer,Y
17-2112.02,Validation Engineers,Reliability Engineer,N
17-2112.02,Validation Engineers,Supplier Quality Engineer,Y
17-2112.02,Validation Engineers,Validation Specialist,N
17-2112.03,Manufacturing Engineers,Facility Engineer,N
17-2112.03,Manufacturing Engineers,Manufacturing Engineer,Y
17-2112.03,Manufacturing Engineers,Plant Engineer,Y
17-2112.03,Manufacturing Engineers,Process Engineer,Y
17-2112.03,Manufacturing Engineers,Process Improvement Engineer,Y
17-2121.00,Marine Engineers and Naval Architects,Marine Architect,N
17-2121.00,Marine Engineers and Naval Architects,Marine Design Engineer,N
17-2121.00,Marine Engineers and Naval Architects,Marine Engineer,Y
17-2121.00,Marine Engineers and Naval Architects,Marine Engineering Consultant,Y
17-2121.00,Marine Engineers and Naval Architects,Marine Structural Designer,N
17-2121.00,Marine Engineers and Naval Architects,Marine Surveyor,Y
17-2121.00,Marine Engineers and Naval Architects,Naval Architect,Y
17-2121.00,Marine Engineers and Naval Architects,Naval Architect Specialist,N
17-2121.00,Marine Engineers and Naval Architects,Ships Equipment Engineer,N
17-2121.00,Marine Engineers and Naval Architects,Structural Engineer,N
17-2131.00,Materials Engineers,Extrusion Engineer,N
17-2131.00,Materials Engineers,Materials Development Engineer,N
17-2131.00,Materials Engineers,Materials Engineer,Y
17-2131.00,Materials Engineers,Materials Research Engineer,Y
17-2131.00,Materials Engineers,Metallurgical Engineer,Y
17-2131.00,Materials Engineers,Metallurgist,Y
17-2131.00,Materials Engineers,Research Engineer,N
17-2131.00,Materials Engineers,Test Engineer,N
17-2141.00,Mechanical Engineers,Application Engineer,N
17-2141.00,Mechanical Engineers,Design Engineer,Y
17-2141.00,Mechanical Engineers,Equipment Engineer,N
17-2141.00,Mechanical Engineers,Mechanical Design Engineer,N
17-2141.00,Mechanical Engineers,Mechanical Designer,N
17-2141.00,Mechanical Engineers,Mechanical Engineer,Y
17-2141.00,Mechanical Engineers,Product Development Engineer,N
17-2141.00,Mechanical Engineers,Product Engineer,Y
17-2141.00,Mechanical Engineers,Project Engineer,Y
17-2141.00,Mechanical Engineers,Test Engineer,N
17-2141.01,Fuel Cell Engineers,Engineer,Y
17-2141.01,Fuel Cell Engineers,Fuel Cell Engineer,Y
17-2141.01,Fuel Cell Engineers,Research Engineer,Y
17-2141.01,Fuel Cell Engineers,Stack Engineer,Y
17-2141.02,Automotive Engineers,Dimensional Integration Engineer,N
17-2141.02,Automotive Engineers,Engineer,Y
17-2141.02,Automotive Engineers,Product Engineer,Y
17-2141.02,Automotive Engineers,Project Engineer,Y
17-2141.02,Automotive Engineers,Research Engineer,Y
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Mine Engineer,Y
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Mining Consultant,Y
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Mining Engineer,Y
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Planning Engineer,N
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Project Engineer,Y
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Safety Engineer,N
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Safety Representative,N
17-2161.00,Nuclear Engineers,Engineer,Y
17-2161.00,Nuclear Engineers,Nuclear Design Engineer,N
17-2161.00,Nuclear Engineers,Nuclear Engineer,Y
17-2161.00,Nuclear Engineers,Nuclear Licensing Engineer,Y
17-2161.00,Nuclear Engineers,Nuclear Process Engineer,N
17-2161.00,Nuclear Engineers,Nuclear Reactor Engineer,Y
17-2161.00,Nuclear Engineers,Nuclear Safety Engineer,N
17-2161.00,Nuclear Engineers,Nuclear Steam Supply System Engineer (NSSS Engineer),N
17-2161.00,Nuclear Engineers,Radiological Engineer,N
17-2161.00,Nuclear Engineers,Reactor Engineer,N
17-2171.00,Petroleum Engineers,Completion Engineer,N
17-2171.00,Petroleum Engineers,Drilling Engineer,Y
17-2171.00,Petroleum Engineers,Engineer,Y
17-2171.00,Petroleum Engineers,Operations Engineer,N
17-2171.00,Petroleum Engineers,Petroleum Engineer,Y
17-2171.00,Petroleum Engineers,Petroleum Production Engineer,N
17-2171.00,Petroleum Engineers,Project Production Engineer,N
17-2171.00,Petroleum Engineers,Project Reservoir Engineer,N
17-2171.00,Petroleum Engineers,Reservoir Engineer,Y
17-2171.00,Petroleum Engineers,Reservoir Engineering Consultant,N
17-2199.03,"Energy Engineers, Except Wind and Solar",Energy Efficiency Engineer,Y
17-2199.03,"Energy Engineers, Except Wind and Solar",Energy Engineer,Y
17-2199.03,"Energy Engineers, Except Wind and Solar",Industrial Energy Engineer,Y
17-2199.03,"Energy Engineers, Except Wind and Solar",Measurement And Verification Engineer,N
17-2199.03,"Energy Engineers, Except Wind and Solar",Test and Balance Engineer,Y
17-2199.05,Mechatronics Engineers,Automation Designer,N
17-2199.05,Mechatronics Engineers,Automation Engineer,Y
17-2199.05,Mechatronics Engineers,Control Systems Engineer,N
17-2199.05,Mechatronics Engineers,Controls Engineering Specialist,N
17-2199.05,Mechatronics Engineers,Design Engineer (Design Eng),N
17-2199.05,Mechatronics Engineers,Equipment Engineer,Y
17-2199.05,Mechatronics Engineers,Process Controls Engineer,Y
17-2199.05,Mechatronics Engineers,Process Development Engineer,N
17-2199.05,Mechatronics Engineers,Project Engineer,Y
17-2199.05,Mechatronics Engineers,Research and Development Engineer (R and D Engineer),N
17-2199.07,Photonics Engineers,Algorithm Developer,N
17-2199.07,Photonics Engineers,Laser Engineer,Y
17-2199.07,Photonics Engineers,Optical Design Engineer,Y
17-2199.07,Photonics Engineers,Optical Engineer,Y
17-2199.07,Photonics Engineers,Optical Specialist,N
17-2199.07,Photonics Engineers,Optical Systems Engineer,Y
17-2199.07,Photonics Engineers,Optoelectronics Engineer,N
17-2199.07,Photonics Engineers,Research and Development Engineer (R and D Engineer),N
17-2199.07,Photonics Engineers,Research Engineer,N
17-2199.08,Robotics Engineers,Automation Engineer,Y
17-2199.08,Robotics Engineers,Autonomous Vehicle Design Engineer,Y
17-2199.08,Robotics Engineers,Design Engineer,Y
17-2199.08,Robotics Engineers,Factory Automations Engineer,Y
17-2199.08,Robotics Engineers,Research Engineer,N
17-2199.08,Robotics Engineers,Robotic Systems Engineer,N
17-2199.10,Wind Energy Engineers,Engineer,Y
17-2199.10,Wind Energy Engineers,Project Engineer,Y
17-2199.10,Wind Energy Engineers,Turbine Measurements Engineer,N
17-2199.10,Wind Energy Engineers,Utility Engineer,Y
17-2199.10,Wind Energy Engineers,Wind Energy Consultant,Y
17-2199.10,Wind Energy Engineers,Wind Farm Siting and Development Consultant,N
17-2199.10,Wind Energy Engineers,Wind Turbine Design Engineer,N
17-2199.11,Solar Energy Systems Engineers,Consulting Engineer,N
17-2199.11,Solar Energy Systems Engineers,Engineer,N
17-2199.11,Solar Energy Systems Engineers,Photovoltaic System Designer (PV System Designer),N
17-2199.11,Solar Energy Systems Engineers,Power Systems Engineer,Y
17-2199.11,Solar Energy Systems Engineers,Project Engineer,Y
17-2199.11,Solar Energy Systems Engineers,Research Engineer,N
17-2199.11,Solar Energy Systems Engineers,Solar Design Engineer,Y
17-2199.11,Solar Energy Systems Engineers,Solar Designer,Y
17-2199.11,Solar Energy Systems Engineers,Solar Energy Engineer,N
17-2199.11,Solar Energy Systems Engineers,Solar Engineer,N
17-3011.00,Architectural and Civil Drafters,Architectural Designer,N
17-3011.00,Architectural and Civil Drafters,Architectural Drafter,Y
17-3011.00,Architectural and Civil Drafters,Architectural Draftsman,N
17-3011.00,Architectural and Civil Drafters,Civil Drafter,Y
17-3011.00,Architectural and Civil Drafters,Computer-Aided Design Designer (CAD Designer),N
17-3011.00,Architectural and Civil Drafters,Computer-Aided Drafting and Design Drafter (CADD Drafter),N
17-3011.00,Architectural and Civil Drafters,Computer-Aided Drafting Designer (CAD Designer),Y
17-3011.00,Architectural and Civil Drafters,Drafting Technician,N
17-3011.00,Architectural and Civil Drafters,Draftsman,Y
17-3011.00,Architectural and Civil Drafters,Draftsperson,N
17-3012.00,Electrical and Electronics Drafters,Computer-Aided Design Operator,Y
17-3012.00,Electrical and Electronics Drafters,Designer,N
17-3012.00,Electrical and Electronics Drafters,Drafter,Y
17-3012.00,Electrical and Electronics Drafters,Drafting Technician (Drafting Tech),N
17-3012.00,Electrical and Electronics Drafters,Electrical Designer,Y
17-3012.00,Electrical and Electronics Drafters,Electrical Drafter,N
17-3012.00,Electrical and Electronics Drafters,Layout Designer,N
17-3012.00,Electrical and Electronics Drafters,Printed Circuit Board Designer (PCB Designer),N
17-3012.00,Electrical and Electronics Drafters,Staking Engineer,N
17-3012.00,Electrical and Electronics Drafters,Staking Technician (Staking Tech),Y
17-3013.00,Mechanical Drafters,CAD Designer (Computer Aided Design Designer),N
17-3013.00,Mechanical Drafters,CAD Operator (Computer Aided Design Operator),N
17-3013.00,Mechanical Drafters,Design Drafter,Y
17-3013.00,Mechanical Drafters,Drafter,Y
17-3013.00,Mechanical Drafters,Drafting Technician,N
17-3013.00,Mechanical Drafters,Mechanical Designer,Y
17-3013.00,Mechanical Drafters,Mechanical Drafter,Y
17-3013.00,Mechanical Drafters,Product Designer,N
17-3013.00,Mechanical Drafters,Project Designer,N
17-3022.00,Civil Engineering Technologists and Technicians,Civil Designer,N
17-3022.00,Civil Engineering Technologists and Technicians,Civil Engineering Assistant,N
17-3022.00,Civil Engineering Technologists and Technicians,Civil Engineering Technician,Y
17-3022.00,Civil Engineering Technologists and Technicians,Design Technician,N
17-3022.00,Civil Engineering Technologists and Technicians,Engineer Technician,Y
17-3022.00,Civil Engineering Technologists and Technicians,Engineering Assistant,Y
17-3022.00,Civil Engineering Technologists and Technicians,Engineering Technician,Y
17-3022.00,Civil Engineering Technologists and Technicians,Transportation Engineering Technician,N
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Communications Technologist,N
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Electrical Engineering Technician,N
